stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Dobiegniew,,402927,52.968422,15.746908,1,
Dobiegniew,402927,420282,52.968422,15.746908,,
Dobova,,394921,45.89839,15.655178,1,
Dobova,394921,676232,45.89839,15.655178,,
Dobova(Gr),,1160,45.890633,15.680238,1,
Dobova(Gr),1160,502865,45.890633,15.680238,,
Donaueschingen,414153,644183,47.9479,8.498788,,
Donaueschingen Bahnhof,,414153,47.947872,8.499141,1,
Donauwörth,,660640,48.714024,10.771447,1,
Donauwörth,660640,162695,48.714027,10.771443,,
Dorfgastein,,193075,47.238487,13.103074,1,
Dorfgastein,193075,523276,47.238487,13.103074,,
Dortmund Hbf,,181811,51.51689,7.459592,1,
Dortmund Hbf,181811,44627,51.517895,7.45929,,
Dresden Bahnhof Neustadt,,532944,51.065426,13.740882,1,
Dresden Hauptbahnhof,,662776,51.03993,13.732932,1,
Dresden Hbf,662776,655567,51.04056,13.732035,,
Dresden-Neustadt,532944,502673,51.0659,13.740701,,
Duisburg Hbf,,611787,51.430454,6.774528,1,
Duisburg Hbf,611787,671355,51.429787,6.775903,,
Düren,,494622,50.809517,6.482451,1,
Düren,494622,301697,50.809517,6.482451,,
Düsseldorf Flughafen,224406,585131,51.292007,6.786836,,
Düsseldorf Hbf,,553196,51.220253,6.792997,1,
Düsseldorf Hbf,553196,147723,51.219963,6.794319,,
Eberswalde Hbf,279558,361148,52.83376,13.796866,,3
Eberswalde Hbf,279558,539320,52.833805,13.796755,,4
Eberswalde Hbf,279558,602002,52.833755,13.797157,,1
"Eberswalde, Hauptbahnhof",,279558,52.833683,13.79695,1,
Eindhoven Centraal,,386640,51.44302,5.479576,1,
Eindhoven Centraal,386640,470703,51.44302,5.479576,,
Eisenach Hbf,,386954,50.976894,10.331974,1,
Eisenach Hbf,386954,120089,50.975952,10.331229,,
Ellwangen,526288,169806,48.964123,10.129681,,
"Ellwangen, Bahnhof",,526288,48.964535,10.129762,1,
Elsterwerda,475765,537650,51.45942,13.516226,,3
Elsterwerda,475765,547088,51.46012,13.51666,,1
Elsterwerda,475765,81507,51.459404,13.516305,,2
"Elsterwerda, Bahnhof",,475765,51.459805,13.516412,1,
Emden Außenhafen,109033,439913,53.344498,7.186394,,
Emden Hbf,575836,418858,53.36933,7.195423,,
Emden(Ostfriesl) Außenhafen,,109033,53.344498,7.186394,1,
Emden(Ostfriesl) Hbf,,575836,53.36925,7.195502,1,
Emmerich,393932,159643,51.834175,6.25648,,
Emmerich Bahnhof,,393932,51.8338,6.254951,1,
Emmerich(Gr),,330409,51.901196,6.137652,1,
Emmerich(Gr),330409,606414,51.901196,6.137652,,
Engen,390724,35090,47.856346,8.772786,,
Engen Bahnhof,,390724,47.856163,8.772669,1,
"Erfurt, Hauptbahnhof",,359378,50.972057,11.037305,1,
Ergenzingen,93544,316616,48.489532,8.809857,,
Ergenzingen Bahnhof,,93544,48.489594,8.809949,1,
Erkelenz,,247611,51.076595,6.321634,1,
Erkelenz,247611,364881,51.076595,6.321634,,
Erlangen,,506194,49.595825,11.00164,1,
Erlangen,506194,68399,49.59583,11.001638,,
Essen Hbf,,267849,51.449734,7.012213,1,
Essen Hbf,267849,36458,51.451355,7.014793,,
Esslingen (N),,623437,48.73854,9.300582,1,
Esslingen(Neckar),623437,92719,48.738544,9.300522,,
Eutingen im Gäu,241330,106679,48.479954,8.782236,,
Eutingen im Gäu Bahnhof,,241330,48.47957,8.781643,1,
Feldkirch,,271870,47.24098,9.604102,1,
Feldkirch,271870,417949,47.24098,9.604102,,
Fieberbrunn,,233977,47.49114,12.528944,1,
Fieberbrunn,233977,461765,47.49114,12.528944,,
Finnentrop,243077,356390,51.173046,7.964563,,
Finnentrop Bf,,243077,51.173046,7.964562,1,
Fischen,,239553,47.456596,10.271723,1,
Fischen,239553,299781,47.456593,10.271717,,
Flensburg,,173146,54.774048,9.436687,1,
Flensburg,173146,414048,54.773857,9.436511,,
Flensburg [Grenze],,446564,54.814842,9.36324,1,
Flensburg(Gr),446564,421557,54.814842,9.36324,,
"Flensburg, Flensburg",173146,60302,54.774227,9.436848,,
Flughafen BER,,369336,52.364605,13.509874,1,
Flughafen BER,369336,453625,52.364063,13.509307,,1
Flughafen BER,369336,650182,52.36424,13.509191,,3
Flughafen Köln/Bonn Bf,,257294,50.878902,7.119301,1,
Flughafen Wien,,160897,48.120823,16.562828,1,
Flughafen Wien,160897,97051,48.120823,16.562828,,
Forbach(F),,35081,49.189217,6.900258,1,
Forbach(F),35081,379204,49.189217,6.900258,,
Forbach(fr),,472147,49.21409,6.944314,1,
Forbach(fr),472147,67863,49.21409,6.944314,,
Fortezza/Franzensfeste,,234528,46.78872,11.610083,1,
Fortezza/Franzensfeste,234528,162360,46.78872,11.610083,,
Frankfurt (Main) Flughafen Fernbahnhof,,192443,50.052914,8.569788,1,
Frankfurt (Main) Flughafen Regionalbahnhof,,5182,50.0512,8.571423,1,
Frankfurt (Main) Hauptbahnhof,,243769,50.107155,8.663759,1,
Frankfurt (Main) Niederrad Bahnhof,,648901,50.08078,8.63709,1,
Frankfurt (Main) Südbahnhof,,424517,50.099327,8.686442,1,
Frankfurt (Main) Westbahnhof,,128552,50.11945,8.63946,1,
"Frankfurt (Oder), Bahnhof",,126796,52.336708,14.547147,1,
Frankfurt(M) Flughafen Fernbf,192443,627057,50.053165,8.570185,,
Frankfurt(M) Flughafen Regionalbf,5182,660052,50.05122,8.571251,,
Frankfurt(Main)Hbf,243769,65711,50.10668,8.662828,,
Frankfurt(Main)Süd,424517,111784,50.099365,8.686457,,
Frankfurt(Main)West,128552,130343,50.1193,8.639395,,
Frankfurt(Oder),126796,439865,52.336605,14.546146,,10
